SKU,Version,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
NC24,,,3856.59,2838.24,3406.1800000000003,2628,2628,,2628
NC24,,,1697.2500000000002,1249.03,1503.0700000000002,1156.3200000000002,1156.3200000000002,1387.73,1156.3200000000002
NC24r,,,1867.34,1373.86,1653.45,1271.66,1271.66,1526.43,1271.66
NC24R,,,4243.49,3122.21,3746.3599999999997,2890.8,2890.8,,2890.8
NC6,,,424.13,312.44,375.95,289.08000000000004,289.08000000000004,346.75,289.08000000000004
NC6,,,964.3299999999999,709.56,851.18,657,657,,657
ND12s,,,4436.21,,3914.9900000000002,3022.2,,,3022.2
ND24rs,,,9759.369999999999,,8616.92,6648.84,,,6648.84
ND24s,,,8871.69,,7830.71,6044.4,,,6044.4
ND6s,,,2217.74,,1957.86,1511.1,,,1511.1
NV12,,,2320.67,1766.6,1992.9,1664.3999999999999,1754.19,,1595.05
NV12,,,1392.84,1059.96,1196.47,998.6400000000001,1052.6599999999999,1086.24,957.03
NV24,,,4641.34,3533.2,3985.8,3328.7999999999997,3509.11,,3190.1
NV24,,,2784.95,2119.92,2392.94,1997.2800000000002,2105.3199999999997,2172.48,1914.06
NV6,,,1160.7,883.3,996.45,832.1999999999999,877.4599999999999,,797.1600000000001
NV6,,,696.42,529.98,597.87,499.32000000000005,526.3299999999999,543.12,478.88
PB12s,,,1575.34,,1575.34,1211.8,,,1211.8
PB24s,,,3150.68,,3150.68,2423.6,,,2423.6
PB6s,,,787.67,,787.67,605.9,,,605.9
A1 v2,v2,36.5,32.85,29.93,29.93,31.389999999999997,31.389999999999997,31.389999999999997,26.279999999999998
A2 v2,v2,77.38,69.35,63.51,63.51,66.42999999999999,66.42999999999999,66.42999999999999,55.48
A2m v2,v2,129.94,97.82000000000001,101.47000000000001,90.52,86.86999999999999,86.86999999999999,108.77,72.27000000000001
A4 v2,v2,162.06,144.54000000000002,133.59,133.59,139.43,139.43,139.43,116.07000000000001
A4m v2,v2,273.02,205.13000000000002,212.42999999999998,189.8,173.73999999999998,181.77,216.81,151.84
A8 v2,v2,340.91,304.40999999999997,279.59000000000003,279.59000000000003,292,292,292,243.09
A8m v2,v2,573.78,429.96999999999997,446.03,398.58000000000004,346.75,382.52000000000004,433.62,319.01
D1 v2,v2,78.11,57.597,48.034,49.567,53.29,41.61,51.1,41.61
D11 v2,v2,167.17000000000002,139.43,135.05,138.7,135.05,108.77,135.05,108.77
D12 v2,v2,335.07,278.86,270.83,276.67,270.83,218.26999999999998,270.1,218.26999999999998
D13 v2,v2,670.14,558.45,540.93,554.07,540.93,436.53999999999996,540.93,436.53999999999996
D14 v2,v2,1339.55,1116.9,1081.86,1108.14,1081.86,873.0799999999999,1081.86,873.0799999999999
D15 v2,v2,1674.6200000000001,1395.76,1352.69,1384.81,1352.69,1091.3500000000001,1351.96,1091.3500000000001
D15i v2,v2,1674.6200000000001,1395.76,1352.69,1384.81,1352.69,1091.3500000000001,1351.96,1091.3500000000001
D2 v2,v2,156.22,115.34,96.36,99.28,106.58,83.22,102.2,83.22
D3 v2,v2,312.44,230.68,191.99,198.56,213.89,167.17000000000002,203.67000000000002,167.17000000000002
D4 v2,v2,625.61,460.63,384.71000000000004,397.12,427.04999999999995,334.34000000000003,408.07000000000005,334.34000000000003
D5 v2,v2,1251.22,921.9899999999999,768.6899999999999,793.51,854.0999999999999,668.6800000000001,815.41,668.6800000000001
DS1 v2,v2,78.11,57.597,48.034,49.567,53.29,41.61,51.1,41.61
DS11 v2,v2,167.17000000000002,139.43,135.05,138.7,135.05,108.77,135.05,108.77
DS12 v2,v2,335.07,278.86,270.83,276.67,270.83,218.26999999999998,270.1,218.26999999999998
DS13 v2,v2,670.14,558.45,540.93,554.07,540.93,436.53999999999996,540.93,436.53999999999996
DS14 v2,v2,1339.55,1116.9,1081.86,1108.14,1081.86,873.0799999999999,1081.86,873.0799999999999
DS15 v2,v2,1674.6200000000001,1395.76,1352.69,1384.81,1352.69,1091.3500000000001,1351.96,1091.3500000000001
DS15i v2,v2,1674.6200000000001,1395.76,1352.69,1384.81,1352.69,1091.3500000000001,1351.96,1091.3500000000001
DS2 v2,v2,156.22,115.34,96.36,99.28,106.58,83.22,102.2,83.22
DS3 v2,v2,312.44,230.68,191.99,198.56,213.89,167.17000000000002,203.67000000000002,167.17000000000002
DS4 v2,v2,625.61,460.63,384.71000000000004,397.12,427.04999999999995,334.34000000000003,408.07000000000005,334.34000000000003
DS5 v2,v2,1251.22,921.9899999999999,768.6899999999999,793.51,854.0999999999999,668.6800000000001,815.41,668.6800000000001
F16s v2,v2,630.72,572.32,560.64,566.48,494.21000000000004,494.21000000000004,619.04,494.21000000000004
F2s v2,v2,78.84,71.54,70.08,70.81,61.757999999999996,61.757999999999996,77.38,61.757999999999996
F32s v2,v2,1261.44,1144.64,1121.28,1132.96,987.6899999999999,987.6899999999999,1238.08,987.6899999999999
F48s v2,v2,1892.16,1716.9599999999998,1681.9199999999998,1699.4399999999998,1481.8999999999999,1481.8999999999999,1857.1200000000001,1481.8999999999999
F4s v2,v2,157.68,143.08,140.16,141.62,123.37,123.37,154.76,123.37
