SKU,Version,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
DS15 v2,v2,2568.14,2156.42,1773.9,2033.0500000000002,1926.4699999999998,1773.9,1926.4699999999998,1773.9
DS15i v2,v2,2568.14,2156.42,1773.9,2033.0500000000002,1926.4699999999998,1773.9,1926.4699999999998,1773.9
DS2 v2,v2,243.09,211.7,169.36,194.18,183.96,170.82000000000002,183.96,170.82000000000002
DS3 v2,v2,486.91,423.4,339.45000000000005,389.09000000000003,367.92,341.64000000000004,367.92,341.64000000000004
DS4 v2,v2,973.0899999999999,846.07,678.1700000000001,778.1800000000001,735.84,683.2800000000001,735.84,683.2800000000001
DS5 v2,v2,1946.1799999999998,1692.14,1356.3400000000001,1555.6299999999999,1471.68,1366.5600000000002,1471.68,1366.5600000000002
F16s v2,v2,1168,1030.03,1097.92,1081.13,950.46,950.46,1156.3200000000002,950.46
F2s v2,v2,146,128.48,137.24,135.05,118.99000000000001,118.99000000000001,144.54000000000002,118.99000000000001
F32s v2,v2,2336,2060.06,2195.84,2161.5299999999997,1900.92,1900.92,2312.6400000000003,1900.92
F48s v2,v2,3504,3328.7999999999997,3293.7599999999998,3312.0099999999998,3095.2000000000003,3095.2000000000003,3470.4199999999996,3095.2000000000003
F4s v2,v2,292,257.69,274.48,270.1,237.98000000000002,237.98000000000002,289.08000000000004,237.98000000000002
F64s v2,v2,4672,4120.12,4391.68,4323.0599999999995,3802.5699999999997,3802.5699999999997,4625.280000000001,3802.5699999999997
F72s v2,v2,5256,4635.5,4940.639999999999,4863.26,4277.8,4277.8,5203.4400000000005,4277.8
F8s v2,v2,584,515.38,548.96,540.2,475.23,475.23,578.1600000000001,475.23
HB120rs v2,v2,,,,7445.999999999999,,,,
L16s v2,v2,,1629.3600000000001,1541.76,1623.5200000000002,1448.32,1448.32,1541.76,1448.32
L32s v2,v2,,,3083.52,,,,3083.52,
L48s v2,v2,,4888.08,,4870.5599999999995,4344.96,4344.96,4625.280000000001,4344.96
L64s v2,v2,,,6167.04,,,,6167.04,
L80s v2,v2,,8146.8,7708.8,8117.599999999999,7241.6,7241.6,7708.8,7241.6
L8s v2,v2,,814.6800000000001,770.88,811.7600000000001,724.16,724.16,770.88,724.16
L96s v2,v2,,,,,,,9250.560000000001,
M208ms v2,v2,,49329.02,46071.76,49329.02,39557.240000000005,39557.240000000005,,39557.240000000005
M208s v2,v2,,28156.829999999998,26528.2,28156.829999999998,23270.94,23270.94,,23270.94
M416ms v2,v2,,108061.9,100827.6,108061.9,86351.70000000001,86351.70000000001,,86351.70000000001
M416s v2,v2,,61020.700000000004,57401.36,61020.700000000004,50162.67999999999,50162.67999999999,,50162.67999999999
NC12s v2,v2,,5226.07,,4657.4,3639.7799999999997,,,3639.7799999999997
NC24rs v2,v2,,11499.69,,10247.74,8008.83,,,8008.83
NC24s v2,v2,,10452.14,,9314.07,7279.5599999999995,,,7279.5599999999995
NC6s v2,v2,,2612.67,,2328.7,1819.8899999999999,,,1819.8899999999999
ND40rs v2,v2,,,,21437.18,17426.56,,,17426.56
ND40s v2,v2,21991.25,17728.780000000002,,13833.5,9606.8,,,
